fips,Ridge_Preds,ENet_Preds,RF_Preds,XGB_Preds,Preds_Combined,Poor_Ridge_RPR20,Poor_ENet_RPR20,Poor_RF_RPR20,Poor_XGB_RPR20,Poor_Combined_RPR20,Poor_Ensemble_RPR20,Poor_Ridge_RPR15,Poor_ENet_RPR15,Poor_RF_RPR15,Poor_XGB_RPR15,Poor_Combined_RPR15,Poor_Ridge_RPR10,Poor_ENet_RPR10,Poor_RF_RPR10,Poor_XGB_RPR10,Poor_Combined_RPR10,Poor_Ridge_RPR05,Poor_ENet_RPR05,Poor_RF_RPR05,Poor_XGB_RPR05,Poor_Combined_RPR05,Poor_Ensemble_RPR15,Poor_Ensemble_RPR10,Poor_Ensemble_RPR05,mFIPS,district,locality,ed,population,objectid
11200258,6.157889371,6.241591913,6.419470944,6.291558889,6.277627779,0.817307692,0.788461538,0.625,0.701923077,0.759615385,0.733173077,0.653846154,0.528846154,0.326923077,0.5,0.490384615,0.355769231,0.278846154,0.048076923,0.317307692,0.211538462,0.134615385,0.067307692,0,0.048076923,0.028846154,0.502403846,0.25,0.0625,1200258,1,12,258,435,689
11200704,6.123195769,6.147851782,6.443213632,6.030517884,6.186194767,0.775,0.775,0.691666667,0.858333333,0.791666667,0.775,0.666666667,0.633333333,0.241666667,0.733333333,0.666666667,0.416666667,0.416666667,0,0.5,0.35,0.183333333,0.166666667,0,0.241666667,0.075,0.56875,0.333333333,0.147916667,1200704,1,12,704,542,645
11200705,6.746314511,6.710045636,6.538843934,6.499235389,6.623609868,0.204819277,0.240963855,0.43373494,0.469879518,0.337349398,0.337349398,0.084337349,0.108433735,0.096385542,0.361445783,0.168674699,0.012048193,0.012048193,0,0.156626506,0.012048193,0,0,0,0.024096386,0,0.162650602,0.045180723,0.006024096,1200705,1,12,705,351,656
11200706,5.915416321,6.033357359,6.446705192,5.945145319,6.085156048,0.955223881,0.925373134,0.597014925,0.917910448,0.910447761,0.848880597,0.880597015,0.798507463,0.208955224,0.776119403,0.76119403,0.597014925,0.455223881,0.02238806,0.634328358,0.432835821,0.268656716,0.186567164,0,0.268656716,0.119402985,0.666044776,0.427238806,0.180970149,1200706,1,12,706,642,688
11200745,6.150620212,6.227240517,6.070023006,6.056187449,6.126017796,0.891891892,0.855855856,0.873873874,0.855855856,0.873873874,0.869369369,0.72972973,0.603603604,0.720720721,0.765765766,0.720720721,0.333333333,0.252252252,0.513513514,0.531531532,0.414414414,0.054054054,0.036036036,0.171171171,0.189189189,0.081081081,0.704954955,0.407657658,0.112612613,1200745,1,12,745,518,641
11201201,6.650084714,6.594955268,6.572378699,6.494253341,6.577918005,0.317073171,0.382113821,0.422764228,0.504065041,0.406504065,0.406504065,0.154471545,0.18699187,0.268292683,0.37398374,0.235772358,0.056910569,0.073170732,0.105691057,0.18699187,0.089430894,0.016260163,0.024390244,0.016260163,0.056910569,0.024390244,0.245934959,0.105691057,0.028455285,1201201,1,12,1201,514,697
11201203,6.660775447,6.530323148,6.44912275,6.422495419,6.515679191,0.329545455,0.511363636,0.659090909,0.590909091,0.511363636,0.522727273,0.113636364,0.227272727,0.238636364,0.318181818,0.193181818,0.022727273,0.045454545,0.022727273,0.170454545,0.034090909,0,0,0,0.045454545,0,0.224431818,0.065340909,0.011363636,1201203,1,12,1203,457,663
11201204,6.651791595,6.688372482,6.646192159,6.562467685,6.63720598,0.330769231,0.284615385,0.3,0.423076923,0.338461538,0.334615385,0.2,0.146153846,0.169230769,0.3,0.207692308,0.061538462,0.053846154,0.061538462,0.161538462,0.076923077,0.007692308,0.007692308,0.015384615,0.038461538,0.015384615,0.203846154,0.084615385,0.017307692,1201204,1,12,1204,495,653
11201205,6.066112249,6.114604406,5.992778582,5.851585425,6.006270166,0.871794872,0.846153846,0.903846154,0.833333333,0.865384615,0.863782051,0.66025641,0.602564103,0.724358974,0.782051282,0.724358974,0.403846154,0.378205128,0.525641026,0.628205128,0.532051282,0.217948718,0.185897436,0.262820513,0.423076923,0.262820513,0.692307692,0.483974359,0.272435897,1201205,1,12,1205,682,683
11201206,6.226165189,6.220026889,6.41196703,6.162718231,6.255219335,0.788135593,0.805084746,0.737288136,0.86440678,0.813559322,0.798728814,0.593220339,0.601694915,0.262711864,0.754237288,0.584745763,0.296610169,0.305084746,0.008474576,0.372881356,0.237288136,0.050847458,0.050847458,0,0.050847458,0.016949153,0.552966102,0.245762712,0.038135593,1201206,1,12,1206,553,658
11201207,5.909349887,6.164026327,6.218017701,5.580340788,5.967933676,0.955555556,0.766666667,0.855555556,0.977777778,0.911111111,0.888888889,0.788888889,0.622222222,0.611111111,0.933333333,0.788888889,0.633333333,0.366666667,0.344444444,0.833333333,0.577777778,0.3,0.144444444,0,0.6,0.266666667,0.738888889,0.544444444,0.261111111,1201207,1,12,1207,492,690
11201209,5.941681553,5.988186557,6.089522234,5.957232619,5.994155741,0.921182266,0.916256158,0.97044335,0.945812808,0.950738916,0.938423645,0.862068966,0.84729064,0.881773399,0.876847291,0.876847291,0.615763547,0.586206897,0.458128079,0.694581281,0.625615764,0.270935961,0.216748768,0.019704433,0.206896552,0.137931034,0.866995074,0.588669951,0.178571429,1201209,1,12,1209,1033,669
11201211,6.151015327,6.087936477,6.331779975,5.936416322,6.126787025,0.833333333,0.879310345,0.862068966,0.942528736,0.890804598,0.879310345,0.666666667,0.74137931,0.431034483,0.827586207,0.735632184,0.379310345,0.465517241,0.028735632,0.603448276,0.402298851,0.086206897,0.114942529,0,0.293103448,0.068965517,0.666666667,0.369252874,0.123563218,1201211,1,12,1211,960,678
11201212,6.665405937,6.624880912,6.658718609,6.627664757,6.644167553,0.257142857,0.271428571,0.342857143,0.371428571,0.3,0.310714286,0.142857143,0.157142857,0.171428571,0.2,0.157142857,0.042857143,0.042857143,0.057142857,0.085714286,0.028571429,0.014285714,0.028571429,0,0.014285714,0.014285714,0.167857143,0.057142857,0.014285714,1201212,1,12,1212,267,651
11201253,5.798843297,5.898926146,6.252674059,6.27251492,6.055739606,0.967741935,0.951612903,0.862903226,0.758064516,0.903225806,0.885080645,0.89516129,0.846774194,0.677419355,0.491935484,0.790322581,0.725806452,0.677419355,0.120967742,0.298387097,0.524193548,0.427419355,0.298387097,0,0.040322581,0.10483871,0.727822581,0.455645161,0.191532258,1201253,1,12,1253,596,644
11201255,8.210568774,7.339562935,6.724033313,7.008317981,7.320620751,0,0.014084507,0.169014085,0.14084507,0.014084507,0.080985915,0,0,0.070422535,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0.035211268,0,0,1201255,1,12,1255,293,662
11201258,5.968620092,6.133098646,6.345628295,6.335273294,6.195655082,0.909677419,0.825806452,0.748387097,0.651612903,0.8,0.783870968,0.793548387,0.722580645,0.438709677,0.503225806,0.625806452,0.574193548,0.361290323,0.161290323,0.24516129,0.296774194,0.238709677,0.129032258,0,0.070967742,0.096774194,0.614516129,0.335483871,0.109677419,1201258,1,12,1258,646,660
11201704,6.619386905,6.510963303,6.382980152,6.472540188,6.496467637,0.35625,0.4875,0.725,0.45,0.5125,0.5046875,0.1875,0.2625,0.3625,0.25625,0.23125,0.04375,0.0875,0.025,0.08125,0.04375,0,0.00625,0,0.00625,0,0.2671875,0.059375,0.003125,1201704,1,12,1704,817,667
11201705,6.213809378,6.273286192,6.418628524,6.304032049,6.302439036,0.759776536,0.726256983,0.648044693,0.69273743,0.720670391,0.706703911,0.597765363,0.553072626,0.368715084,0.525139665,0.541899441,0.296089385,0.245810056,0.055865922,0.296089385,0.229050279,0.094972067,0.055865922,0,0.089385475,0.027932961,0.511173184,0.223463687,0.060055866,1201705,1,12,1705,754,646
11201706,6.389916727,6.362882225,6.178759125,6.263338318,6.298724099,0.578431373,0.617647059,0.774509804,0.68627451,0.705882353,0.664215686,0.343137255,0.362745098,0.558823529,0.529411765,0.460784314,0.225490196,0.225490196,0.411764706,0.333333333,0.294117647,0.049019608,0.058823529,0.18627451,0.137254902,0.117647059,0.448529412,0.299019608,0.107843137,1201706,1,12,1706,510,647
11201754,6.069921884,6.190475397,6.392129362,5.949167316,6.15042349,0.923076923,0.817307692,0.730769231,0.894230769,0.875,0.841346154,0.759615385,0.653846154,0.326923077,0.798076923,0.721153846,0.451923077,0.288461538,0.009615385,0.682692308,0.365384615,0.134615385,0.057692308,0,0.326923077,0.057692308,0.634615385,0.358173077,0.129807692,1201754,1,12,1754,458,686
11202203,6.290094941,6.254009947,6.242837694,6.211811619,6.24968855,0.71,0.77,0.77,0.79,0.75,0.76,0.53,0.57,0.66,0.63,0.61,0.28,0.32,0.28,0.35,0.28,0.05,0.06,0,0.11,0.04,0.5975,0.3075,0.055,1202203,1,12,2203,460,695
11202204,6.622799854,6.483168567,6.43741149,6.312049023,6.463857234,0.366071429,0.571428571,0.633928571,0.714285714,0.642857143,0.571428571,0.133928571,0.258928571,0.267857143,0.517857143,0.276785714,0.026785714,0.053571429,0.053571429,0.276785714,0.053571429,0,0,0,0.017857143,0,0.294642857,0.102678571,0.004464286,1202204,1,12,2204,523,681
11202206,6.527716916,6.571368035,6.397982489,6.468148782,6.491304056,0.449612403,0.403100775,0.689922481,0.558139535,0.519379845,0.525193798,0.286821705,0.248062016,0.372093023,0.364341085,0.317829457,0.093023256,0.069767442,0.023255814,0.139534884,0.069767442,0.007751938,0.007751938,0,0.015503876,0,0.317829457,0.081395349,0.007751938,1202206,1,12,2206,590,668
11202207,6.246984686,6.295903178,6.151950638,6.063101079,6.189484895,0.718446602,0.699029126,0.825242718,0.805825243,0.766990291,0.762135922,0.582524272,0.54368932,0.660194175,0.718446602,0.67961165,0.262135922,0.242718447,0.368932039,0.563106796,0.359223301,0.048543689,0.009708738,0.106796117,0.184466019,0.038834951,0.626213592,0.359223301,0.087378641,1202207,1,12,2207,513,657
11202209,6.489038809,6.533953355,6.517429269,6.11648182,6.414225813,0.441176471,0.338235294,0.367647059,0.948529412,0.705882353,0.523897059,0.191176471,0.154411765,0.066176471,0.808823529,0.191176471,0.044117647,0.036764706,0,0.441176471,0.022058824,0.007352941,0,0,0.036764706,0,0.305147059,0.130514706,0.011029412,1202209,1,12,2209,798,670
