fips,mean_internet_access,mFIPS,district,locality,ed,population,objectid
31208610,NA,3208610,3,12,8610,124,338
31208660,NA,3208660,3,12,8660,381,351
31209610,NA,3209610,3,12,9610,272,352
31210660,NA,3210660,3,12,10660,227,362
31211660,NA,3211660,3,12,11660,191,363
31212660,NA,3212660,3,12,12660,402,364
40600101,NA,4100101,4,06,101,284,313
40600102,NA,4100102,4,06,102,242,306
40600103,NA,4100103,4,06,103,173,307
40600104,NA,4100104,4,06,104,403,304
40600105,NA,4100105,4,06,105,331,317
40600106,NA,4100106,4,06,106,120,308
40600108,NA,4100108,4,06,108,332,302
40600109,NA,4100109,4,06,109,131,300
40600110,NA,4100110,4,06,110,196,305
40600111,NA,4100111,4,06,111,577,311
40600201,NA,4100201,4,06,201,498,286
40600202,NA,4100202,4,06,202,957,312
40600203,NA,4100203,4,06,203,1234,292
40600318,NA,4100318,4,06,318,349,287
40601109,NA,4101109,4,06,1109,208,303
40601110,NA,4101110,4,06,1110,485,315
40602101,NA,4102101,4,06,2101,222,299
40602109,NA,4102109,4,06,2109,262,301
40602110,NA,4102110,4,06,2110,355,294
40603101,NA,4103101,4,06,3101,221,297
40603110,NA,4103110,4,06,3110,333,295
40604101,NA,4104101,4,06,4101,195,291
40604110,NA,4104110,4,06,4110,475,296
40605101,NA,4105101,4,06,5101,58,288
40605110,NA,4105110,4,06,5110,403,298
40606101,NA,4106101,4,06,6101,317,289
40606110,NA,4106110,4,06,6110,337,293
40607101,NA,4107101,4,06,7101,171,290
40610110,NA,4110110,4,06,10110,330,316
40610111,NA,4110111,4,06,10111,422,309
40611110,NA,4111110,4,06,11110,392,314
40620111,NA,4120111,4,06,20111,482,310
40700201,NA,4100201,4,07,201,427,275
40700202,NA,4100202,4,07,202,423,276
40700203,NA,4100203,4,07,203,422,280
40700204,NA,4100204,4,07,204,493,281
40700205,NA,4100205,4,07,205,389,283
40700206,NA,4100206,4,07,206,32,270
40700207,NA,4100207,4,07,207,75,271
40700208,NA,4100208,4,07,208,113,273
40700209,NA,4100209,4,07,209,116,279
40700701,NA,4100701,4,07,701,498,274
40701202,NA,4101202,4,07,1202,521,277
40701203,NA,4101203,4,07,1203,447,285
40701205,NA,4101205,4,07,1205,396,282
40702202,NA,4102202,4,07,2202,341,278
40702203,NA,4102203,4,07,2203,359,284
40702205,NA,4102205,4,07,2205,164,272
40800101,NA,4100101,4,08,101,148,240
40800102,NA,4100102,4,08,102,362,259
40800103,NA,4100103,4,08,103,284,246
40800104,NA,4100104,4,08,104,620,253
40800107,NA,4100107,4,08,107,68,239
40800108,NA,4100108,4,08,108,247,263
40800109,NA,4100109,4,08,109,402,245
40800110,NA,4100110,4,08,110,654,252
40800111,NA,4100111,4,08,111,370,244
40800112,NA,4100112,4,08,112,417,251
40800113,NA,4100113,4,08,113,405,250
40800114,NA,4100114,4,08,114,243,269
40800601,NA,4100601,4,08,601,326,247
40800602,NA,4100602,4,08,602,306,254
40801102,NA,4101102,4,08,1102,141,260
40801108,NA,4101108,4,08,1108,432,262
40801110,NA,4101110,4,08,1110,324,255
40801111,NA,4101111,4,08,1111,305,242
40801112,NA,4101112,4,08,1112,286,258
40801113,NA,4101113,4,08,1113,408,249
40801114,NA,4101114,4,08,1114,283,268
40802108,NA,4102108,4,08,2108,28,261
40802111,NA,4102111,4,08,2111,183,243
40802112,NA,4102112,4,08,2112,217,257
40802113,NA,4102113,4,08,2113,10,248
40802114,NA,4102114,4,08,2114,188,267
